514,308,426,312,15,9
568,347,557,334,17,15
6,376,62,226,13,15
395,165,408,271,12,11
551,296,514,321,17,13
553,339,582,399,14,11
299,573,297,583,11,9
537,418,525,491,11,6
246,581,140,443,9,19
495,231,574,307,13,14
310,454,306,439,13,14
485,298,510,260,11,15
282,607,503,623,13,17
565,414,578,333,10,12
499,616,304,636,17,11
228,376,158,419,11,13
198,244,152,248,15,13
496,61,478,74,14,14
171,251,87,234,12,20
149,431,252,383,20,9
71,454,79,460,19,19
539,458,528,576,12,15
517,512,525,428,7,8
407,289,397,298,14,10
504,18,502,8,11,12
36,169,144,72,14,12
201,358,196,367,15,12
311,390,243,295,14,9
514,277,459,302,18,10
244,85,251,241,19,16
81,234,40,166,17,15
418,253,494,201,16,9
15,612,9,617,14,12
244,141,247,131,16,15
475,460,546,442,12,9
139,448,226,574,13,11
122,81,129,83,13,14
69,224,11,348,12,11
218,244,291,190,14,10
236,316,200,243,10,12
534,598,475,466,16,7
225,342,219,337,14,11
101,94,247,96,16,15
24,111,14,123,16,16
307,213,377,173,11,11
394,320,297,381,11,11
