53,687,61,686,22,27
180,506,211,509,34,27
215,499,201,497,24,26
64,480,75,475,27,20
430,461,440,464,30,28
236,422,243,443,21,19
395,100,391,110,23,26
203,524,186,518,17,19
67,137,74,130,26,33
112,529,125,519,33,35
55,57,65,48,30,24
115,513,126,520,30,32
200,324,216,311,36,34
140,265,147,252,25,24
131,367,153,355,32,30
282,68,283,89,24,22
524,304,537,324,29,25
371,395,386,409,24,26
335,54,305,66,25,26
27,498,47,504,27,24
283,20,299,17,31,31
150,119,157,125,29,24
379,220,367,211,31,30
481,88,485,99,29,30
55,119,60,135,25,29
138,193,138,172,28,29
305,697,301,691,27,23
480,310,470,318,29,26
119,307,124,284,26,25
293,246,297,250,30,31
461,92,456,102,26,26
414,268,422,263,25,26
173,334,177,320,35,32
270,133,263,133,29,24
113,694,97,692,19,20
277,452,289,459,24,25
473,459,474,459,18,21
322,314,296,316,26,28
216,325,244,312,21,20
27,80,28,79,27,29
158,571,174,575,23,23
23,684,35,682,21,20
227,588,209,585,21,21
147,289,156,297,27,24
371,683,362,691,22,24
210,291,226,291,35,36
102,160,100,150,31,28
408,683,431,683,21,17
67,555,60,554,27,18
474,551,495,553,20,17
345,538,370,529,34,31
397,278,408,274,29,29
405,552,409,547,21,19
267,167,283,160,27,22
288,534,319,540,28,32
435,235,446,222,30,31
24,215,34,202,25,22
479,675,491,692,23,22
374,263,397,273,32,35
297,637,298,658,20,16
404,452,403,486,23,27
197,386,170,380,19,19
510,475,511,466,19,19
365,540,378,543,21,21
522,152,527,161,25,23
138,562,148,558,25,31
533,163,529,135,34,39
327,470,316,498,18,16
273,343,285,324,24,22
292,517,277,517,29,30
270,270,285,262,36,32
321,276,323,266,41,36
493,636,494,652,23,23
345,390,348,393,27,22
239,145,243,165,24,22
349,177,354,173,25,23
175,209,169,203,26,35
455,289,462,303,27,24
533,378,521,380,22,21
63,385,62,378,25,28
267,396,296,399,20,19
479,208,495,199,31,28
