147,809,164,777,19,15
96,804,92,816,14,23
187,777,175,764,15,23
234,764,195,797,20,13
165,756,150,735,10,11
25,751,46,723,23,11
53,735,54,722,19,15
151,707,62,722,21,15
56,698,49,702,10,20
185,645,195,625,25,17
187,611,177,617,17,16
161,609,177,623,15,18
133,600,54,689,21,18
105,592,88,606,16,20
179,588,153,644,12,14
146,568,73,586,12,16
82,563,153,654,20,14
157,537,167,465,23,21
66,521,122,584,15,18
157,518,147,465,22,17
68,458,51,427,12,20
135,443,146,435,19,15
166,441,134,425,16,11
44,422,31,345,8,13
149,411,141,388,15,13
38,392,28,306,24,8
222,383,219,381,24,14
150,371,203,372,15,18
25,371,78,522,15,15
201,364,159,264,28,20
25,323,55,450,13,13
25,289,93,205,17,17
149,268,158,259,21,16
246,263,211,210,20,7
125,259,121,218,23,20
146,248,135,157,16,9
109,229,108,143,21,9
25,199,45,160,19,17
201,193,147,289,11,21
104,192,103,226,20,14
57,160,63,58,18,25
109,153,71,53,21,16
48,138,55,39,15,23
74,137,72,144,12,23
59,116,52,25,28,28
92,100,35,25,16,21
65,89,75,117,19,17
