429,553,447,551,8,6
120,545,105,552,17,22
109,537,120,530,22,19
100,532,63,552,23,6
450,531,431,534,6,5
185,516,216,518,11,9
133,513,140,508,29,29
174,512,171,513,8,5
245,506,273,491,11,9
147,492,163,478,13,5
454,445,453,460,12,8
155,433,157,435,29,24
362,410,363,411,10,5
434,397,436,420,6,9
180,376,177,392,17,22
445,362,479,415,15,8
422,358,435,365,23,19
401,358,401,373,7,6
181,358,189,357,13,20
123,346,99,352,7,6
190,345,191,328,24,21
283,333,285,331,7,7
429,325,425,327,19,16
178,324,193,340,11,12
255,317,255,324,7,10
469,314,466,350,11,17
274,287,267,300,9,10
437,284,415,278,13,6
162,283,177,306,6,12
182,281,187,311,12,14
46,276,79,273,15,8
355,274,372,286,7,5
202,272,199,269,24,22
297,265,301,269,12,8
186,261,165,267,25,8
324,250,335,237,7,6
401,246,414,220,7,9
339,236,351,225,8,8
174,232,203,236,19,8
445,226,458,256,11,13
354,194,377,180,7,6
469,193,442,294,8,15
201,178,225,185,21,18
230,164,200,126,13,9
186,150,133,143,11,10
482,146,479,181,15,10
357,138,345,122,13,8
242,133,207,167,22,18
413,114,392,180,7,5
453,112,432,92,21,9
401,90,393,76,17,15
233,85,251,123,14,22
286,81,243,87,30,12
313,74,291,90,9,22
133,70,81,26,7,5
309,63,321,87,36,6
394,61,397,46,6,7
299,58,251,51,26,5
255,53,185,26,7,8
78,50,63,65,7,5
169,46,121,58,9,8
446,44,439,25,7,6
384,44,319,51,6,36
387,30,373,29,11,14
379,27,378,42,9,5
305,25,299,59,24,28
